date,total_keywords_count,question_count,instability_index
2012-07-31,1.25,15.0,1.25
2012-08-31,1.0,15.0,1.0
2012-09-30,2.0,15.0,2.0
2012-10-31,1.375,15.25,1.375
2012-11-30,1.7777777777777777,14.11111111111111,1.7777777777777777
2012-12-31,1.2,15.0,1.2
2013-01-31,0.25,15.25,0.25
2013-02-28,1.625,15.125,1.625
2013-03-31,1.3333333333333333,15.166666666666666,1.3333333333333333
2013-04-30,1.25,15.125,1.25
2013-05-31,1.1666666666666667,15.166666666666666,1.1666666666666667
2013-06-30,0.625,15.125,0.625
2013-07-31,1.5,15.0,1.5
2013-08-31,,,
2013-09-30,1.0,15.0,1.0
2013-10-31,0.8,15.2,0.8
2013-11-30,0.75,15.125,0.75
2013-12-31,1.2,15.0,1.2
2014-01-31,0.75,15.125,0.75
2014-02-28,0.5,14.375,0.5
2014-03-31,,,
2014-04-30,0.75,15.25,0.75
2014-05-31,0.5555555555555556,15.11111111111111,0.5555555555555556
2014-06-30,0.5,15.125,0.5
2014-07-31,0.5,15.25,0.5
2014-08-31,,,
2014-09-30,2.0,15.0,2.0
2014-10-31,1.2222222222222223,15.11111111111111,1.2222222222222223
2014-11-30,1.2857142857142858,15.142857142857142,1.2857142857142858
2014-12-31,1.0,15.166666666666666,1.0
2015-01-31,0.8,15.0,0.8
2015-02-28,1.0,15.166666666666666,1.0
2015-03-31,0.5,15.125,0.5
2015-04-30,0.5,15.0,0.5
2015-05-31,0.375,15.125,0.375
2015-06-30,0.42857142857142855,15.142857142857142,0.42857142857142855
2015-07-31,2.4,15.2,2.4
2015-08-31,,,
2015-09-30,3.0,15.0,3.0
2015-10-31,0.4444444444444444,15.11111111111111,0.4444444444444444
2015-11-30,0.2857142857142857,15.142857142857142,0.2857142857142857
2015-12-31,0.6666666666666666,15.0,0.6666666666666666
2016-01-31,1.0,15.166666666666666,1.0
2016-02-29,0.6666666666666666,15.166666666666666,0.6666666666666666
2016-03-31,0.4,15.1,0.4
2016-04-30,0.25,15.25,0.25
2016-05-31,0.375,14.875,0.375
2016-06-30,0.3333333333333333,15.11111111111111,0.3333333333333333
2016-07-31,0.0,15.0,0.0
2016-08-31,,,
2016-09-30,2.0,15.0,2.0
2016-10-31,0.625,15.125,0.625
2016-11-30,0.5,15.125,0.5
2016-12-31,0.6,15.2,0.6
2017-01-31,0.6666666666666666,15.166666666666666,0.6666666666666666
2017-02-28,1.375,15.125,1.375
2017-03-31,,,
2017-04-30,,,
2017-05-31,,,
2017-06-30,,,
2017-07-31,0.0,68.75,0.0
2017-08-31,0.8,112.2,0.8
2017-09-30,0.5,152.0,0.5
2017-10-31,2.4,232.0,2.4
2017-11-30,1.75,196.25,1.75
2017-12-31,0.5,229.25,0.5
2018-01-31,0.8,141.4,0.8
2018-02-28,0.5,251.75,0.5
2018-03-31,0.75,237.25,0.75
2018-04-30,1.0,233.25,1.0
2018-05-31,0.6,184.6,0.6
2018-06-30,1.75,295.75,1.75
2018-07-31,0.8,289.2,0.8
2018-08-31,0.6666666666666666,140.66666666666666,0.6666666666666666
2018-09-30,0.25,158.75,0.25
2018-10-31,0.6,269.6,0.6
2018-11-30,1.5,205.0,1.5
2018-12-31,1.5,235.25,1.5
2019-01-31,1.2,164.0,1.2
2019-02-28,0.5,248.25,0.5
2019-03-31,0.5,200.25,0.5
2019-04-30,0.6,210.0,0.6
2019-05-31,0.5,193.25,0.5
2019-06-30,0.75,211.25,0.75
2019-07-31,1.0,255.4,1.0
2019-08-31,0.25,88.75,0.25
2019-09-30,0.75,149.0,0.75
2019-10-31,0.8,203.8,0.8
2019-11-30,0.25,173.5,0.25
2019-12-31,0.4,165.2,0.4
2020-01-31,0.5,133.25,0.5
2020-02-29,0.5,204.0,0.5
2020-03-31,0.4,186.6,0.4
2020-04-30,4.0,275.75,4.0
2020-05-31,2.75,212.0,2.75
2020-06-30,4.8,193.2,4.8
2020-07-31,6.5,165.0,6.5
2020-08-31,2.25,103.0,2.25
2020-09-30,1.6,144.2,1.6
2020-10-31,2.0,200.75,2.0
2020-11-30,2.0,215.75,2.0
2020-12-31,3.6,210.8,3.6
2021-01-31,1.25,124.25,1.25
2021-02-28,2.25,213.5,2.25
2021-03-31,1.6,211.0,1.6
2021-04-30,1.0,198.25,1.0
2021-05-31,1.0,151.25,1.0
2021-06-30,1.2,139.0,1.2
2021-07-31,1.75,150.0,1.75
2021-08-31,1.2,73.4,1.2
2021-09-30,2.0,156.5,2.0
2021-10-31,3.0,187.0,3.0
2021-11-30,0.8,130.2,0.8
2021-12-31,1.5,125.5,1.5
2022-01-31,0.75,116.0,0.75
2022-02-28,3.0,161.75,3.0
2022-03-31,1.6,121.2,1.6
2022-04-30,0.5,74.25,0.5
2022-05-31,0.8,42.0,0.8
2022-06-30,0.0,21.0,0.0
2022-07-31,1.0,27.0,1.0
2022-08-31,1.0,28.0,1.0
2022-09-30,,,
2022-10-31,1.75,28.25,1.75
2022-11-30,2.2,27.2,2.2
2022-12-31,2.5,28.0,2.5
2023-01-31,2.6666666666666665,28.333333333333332,2.6666666666666665
2023-02-28,4.333333333333333,28.0,4.333333333333333
2023-03-31,1.8,27.8,1.8
2023-04-30,0.5,28.0,0.5
2023-05-31,2.0,28.6,2.0
2023-06-30,2.0,28.0,2.0
2023-07-31,2.3333333333333335,28.0,2.3333333333333335
2023-08-31,,,
2023-09-30,2.0,28.0,2.0
2023-10-31,2.75,28.0,2.75
2023-11-30,0.8571428571428571,20.142857142857142,0.8571428571428571
2023-12-31,0.5,14.0,0.5
2024-01-31,0.75,14.25,0.75
2024-02-29,0.5,14.0,0.5
2024-03-31,1.5,14.0,1.5
2024-04-30,0.25,14.25,0.25
2024-05-31,0.625,15.0,0.625
2024-06-30,1.0,9.333333333333334,1.0
2024-07-31,,,
2024-08-31,,,
2024-09-30,,,
2024-10-31,9.4,319.4,9.4
2024-11-30,3.5,200.0,3.5
2024-12-31,1.4,123.0,1.4
2025-01-31,1.75,151.25,1.75
2025-02-28,4.0,247.5,4.0
2025-03-31,2.25,209.5,2.25
2025-04-30,2.25,183.25,2.25
